family,stem,reg_via_transforms,reg_via_regex,file_via_transforms,file_no_match
berbew,253cebb95c3fc102c9d2eb518bbae39c2226ea9a738778d292e9f590e4f2da29,0,35,1,5
berbew,7b94abe0081c00861191367444711223f44aa49697a4ab60c51e9fad3b2d7e8e,0,35,1,5
berbew,96a04244c0dc4d51570d30dca5735a483e452490bdef1537909eaecfd9df8bad,0,35,2,5
berbew,5c5c7c240e27d57c27ebdc59a52921ea4fa2d04e7cf50ace559497a3322d4995,0,35,1,5
berbew,d839fa66310d468d1aa039a5f526461b3269b2933af5d8e347713b88b65d2eab,0,35,1,5
berbew,d2e5f2005e827ea3f7a20fff918f4ee49f3a4fa750b8c8e44970d4be93f3c1b9,0,35,1,5
berbew,0e0534344356c1ae249483171aece8eeb7777ca2c323e6b220701550a9731114,0,35,1,5
dacic,00572c76c29eb5c5bb329f1793ee806d2418a48013ed111f3e129df6514b4768,0,122,15,13
dacic,09c8dc4d5e6b4db57ad2b51e06371b4602a2c111ad246d306597e62626774d9b,0,122,17,13
dacic,0a78372be2b5ab85e1d96724f0efdb2bd32068f706cbfc24e9686e3e5eb153d7,0,108,16,13
dacic,0b8b5b72d071272dbb0dcdbcc700cb18d2329bb068235f62966f091cfca9cf5e,0,108,16,13
dacic,0b9e0e83acee7ab498b242a8dce58735b02700ab373be071703a45c6316ee373,0,108,15,13
dacic,0bce4456cd90916a93216ae49792af6fc2f0600ee1d80575b5c173c78c44efef,0,122,15,14
dacic,0c3fce62334aedd09a19b36f3b63a4cca505771f8aec9d8cadfc7c03951c379f,0,108,15,13
dacic,0d945616110f54065b95a62dbac52fb40fff8ee26551823bd13bb7b0ea92d1a6,0,108,14,13
dacic,0e00e8157db7cc8931cf06576c7f3b8b6996d6354db317700743afdf2f8614f2,0,122,15,13
dacic,11e57bae7aec9f5a36591bec5dc807a40a894f87440374a8fbe932aa89e76672,0,124,17,13
dacic,17d776972be1a94d16d6077b9c6e6510a3c79b864406646eddce9024b401734a,0,108,15,13
dacic,1938464d49f08ecafb8a440c9258efa43b76fd3fe5e861e30286e4b656a1954c,0,38,21,8
dacic,1aaccb0fb9bdb09c7ed85ff7c64e97d3687221fd3c5b7e94818ebfefd648c372,0,122,16,13
dacic,2296a099200f95622eb1e72db3ebfa702696d213313b1ffd6361451352b9fed2,0,122,16,13
dacic,247bcc205dd8529410b60fa825ff029deacf25bf9f93f55a131bdda470dbd4e3,0,122,16,14
dacic,26dc0b5d0a036bc6a13e4051f3d9f0a4dd396a12d5219efbbc239ee397470582,0,122,13,13
dacic,26ef7d8514bc10aa679a5990102d26ead172eace34db9c8d0c743745a5aa07e1,0,122,17,13
dacic,28bd947b72e6d87ff49f9fb5498e907a33d8db92ca50c07ae2f90b1480f9427d,0,108,14,13
dacic,2a1dcd9269c03dc2b0c71d2383decdf8f3cfb7ad82ca0b8745e1c7e01322f60d,0,121,16,13
agenttesla,d975b68c91c59dddb7b6777f6f2f78300ddd9be5c51f483994ea26106839a017,0,684,38,31
dacic,25bee31eda4859c5264cc757168bf142c4ca6fbda261a674f1b787f3d8dfa9ac,0,684,39,35
